,id,native,language,probabilities,english_only,text
1065,1427.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999981482421287],True,"I'm Emi, I'm a video producer. I am looking for Italian-English language exchanges."
1067,1430.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999960120681258],True,Hi! I would like to improve my English and help you with Italian in exchange
1068,1431.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142845736936789, it:0.2857138447647685]",False,"Hi. I am a policeman (“Lieutenant"" of the Carabinieri ). I love my job and like helping people. I need to practice and improve my English. I'm kind and sociable person and I can help you learn/improve Italian. Ciao, ho necessità di praticare e migliorare il mio inglese per motivi di lavoro."
1069,1432.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954761087075],True,"I'm Ilaria, an Italian lady, 38 years old. I would like to improve my written english."
1070,1433.0,Italian,"[{'language': 'Albanian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Swedish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Croatian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999978680395523],True,"Hi everybody! Really really nice to meet you all in this wonderfull suite! I'm glad to meet you because you're offering me the real deep and important sense of life: meeting new people, learning new languages, knowing something new about new culture, giving an extraordinary shadow to our life.. that deserves to be not boring or ordinary, but amazing! I definitely TRUST in the meeting with new people's souls, giving new energies of life and new skills"
1071,1434.0,Spanish<br/>Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Polish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999967168292488],True,"Hi, I'm Francesco, an Italian guy actually living in Pamplona, Spain. I would like to improve and practice English. In exchange, I can help you with Italian or Spanish. Let me know if you're interested in an exchange. Un saluto :D"
1072,1435.0,Italian,"[{'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999983290810799],True,"Italian native speaker, I live in Paris since 2017. I perfectly speak Italian and French. I also speak English but I’d like to be more confident and i’d love to learn Spanish."
1073,1436.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997388157567],True,"Hello to everyone, I'am Alberto and i subscribed here becouse i want to improve my english. I would like to get more fluency, I speak italian as a mother tongue and i can help you to move first steps towards this language or make better your pronunciation if you already speak italian. We can write messages or chat, live conversation or send audio messagges. Now i live and work in Italy, i love mountains and in particular enjoy with my mountain bike or hiking sometimes."
1074,1437.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972681886011],True,"Hi folks I'm a Italian but I live in Scotland and I'd like improve my english, so I'm looking for someone who help me and in return I can help with Italian. If you are interested...get in touch. Cheers"
1075,1438.0,Italian,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999943437419425],True,"Hallo, ich bin Rossella. Ich möchte mein Deutsch verbessern. Ich kann euch in Italienisch helfen. Hi, I am Rossella. I'd like to improve my English. I have always studied grammar only and i can't speak fluently . I can help you with your Italian"
1076,1439.0,Italian,"[{'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960623539641],True,"Hi I'm Matteo I'm 20 and Im here because i would like to improve my French and English. I can also help you guys to know italian and our traditions. I love to know new languages and study it. I was born in Catania, Sicily, but i grow up and i also live in Milan"
1078,1441.0,Italian,"[{'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999965530855524],True,"Hi, I'm Italian and I like to improve and practise my Spanish, English, French and German. Can you help me?"
1079,1442.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974729411907],True,"I am an Italian engineer, now retired. I like study English and improve my skills. If you want I can help with my Italian. Thank you"
1080,1444.0,Italian,"[{'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980457597849],True,"I am a nonconformist italian. I’m keen on art and Opera, furniture and fashion, philosophy and fencing,poetry and idioms;archery practitioner and chess player. Also love nature and ancient white weapons. Ancient things attract me more than modern ones.I live in Madrid now,to do a new experience in a new country,as I did in the past in other places. Life is movement and transformation. Nietzsche said: ”living means being in danger”."
1081,1446.0,Italian,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999982115781563],True,"Hi! I have a degree in Economics, so I need learn languages for Job! I love learning foreign languages because it's so funny and useful! If you teach me one language among English, German, French, Spanish or Russian, I will teach you Italian. I live in Milan. Please only serious people and who LIVE in Milan..."
1082,1447.0,Italian,"[{'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980177012695],True,"I am an Italian girl, who needs to learn italian??? I am Your funny teacher....don't be shy....contact me!...Today!..."
1083,1448.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980244372653],True,"I'm a 66 years old man .I'm a retired manager, but i still work as a consultant . Now i've more time to dedicate to english lerning so i'm searching a way to practise the colloquial english. My english knowledge is intermediate level ..I better manage reading than spoke english..for this i'm trying to explore how to improve to speach english by language exchange Obviously ,i’m completely avilable to offer and share about italian learning and/or improvement"
1084,1449.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.7142833779791988, it:0.2857156632240675]",False,"Ciao I'm Simona, I would like to improve my English by making conversation, in exchange I can teach you Italian and I can talk about my culture. I'm interested in diffrent cultures and I'm very open-minded, I can't wait to find new friends. Ciao, mi piacerebbe fare conversazione per migliorare il mio inglese, in cambio posso insegnare la lingua italiana. Ho molti interessi e non vedo l'ora di condividerli."
1085,1450.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996983749793],True,HI everybody! I'm Angela from Italy. I'd like to practice english to improve my level. Thank you for helping me! :)
1086,1451.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999978694159095],True,"28 years old Italian/Sicilian guy, looking for someone that wanna learn Italian helping me improving my English"
1087,1452.0,Italian,"[{'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960462805129],True,"你好! 我是Luca, 我学汉语。我喜欢有中国朋友和说意大利语和汉语。 I can help you to improve your Italian in return! A presto..."
1088,1456.0,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976247360629],True,"Hello everyone! I would like to write to people around my age. At the beginning I would prefer to practice only in writing. I'm here to improve my English and my French, so if you can speak one of them and want to practice your Italian, here I am :)"
1089,1457.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954613334956],True,"I'm looking for people who are interested in nice conversations. I just like to practice English to feel more confident and to know other culture deeper. And I like to help people with Italian. No dating, please!"
1090,1460.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999952295034493],True,"I am retired but I collaborate with a company that operates in tourism. I really enjoy hiking everywhere in our beautiful Italy and traveling around the world. I have a son who lives in the UK, he is married to an English girl, and I have two grandchildren. I wish I could have a good conversation with my English family. To travel I would also like to have a deeper knowledge of French. In return I can help with Italian, which I speak and write correctly."
